(0 70 66 1 1)
(1 39 48 16666667/50000000 1)
(1 70 66 16666667/50000000 1)
(6666667/5000000 55 57 16666667/50000000 1)
(6666667/5000000 58 59 16666667/50000000 1)
(8333333/5000000 67 64 16666667/50000000 1)
(8333333/5000000 46 52 16666667/50000000 1)
(2 75 69 16666667/50000000 1)
(2 39 48 16666667/50000000 1)
(23333333/10000000 63 62 16666667/50000000 1)
(23333333/10000000 55 57 16666667/50000000 1)
(26666667/10000000 70 66 16666667/50000000 1)
(26666667/10000000 46 52 16666667/50000000 1)
(3 79 71 16666667/50000000 1)
(3 39 48 16666667/50000000 1)
(33333333/10000000 67 64 16666667/50000000 1)
(33333333/10000000 58 59 16666667/50000000 1)
(36666667/10000000 75 69 16666667/50000000 1)
(36666667/10000000 46 52 16666667/50000000 1)
(4 82 73 16666667/50000000 1)
(4 39 48 16666667/50000000 1)
(8666667/2000000 70 66 16666667/50000000 1)
(8666667/2000000 63 62 16666667/50000000 1)
(9333333/2000000 79 71 16666667/50000000 1)
(9333333/2000000 55 57 16666667/50000000 1)
(5 46 52 16666667/50000000 1)
(5 87 76 16666667/50000000 1)
(10666667/2000000 75 69 16666667/50000000 1)
(10666667/2000000 67 64 16666667/50000000 1)
(11333333/2000000 82 73 16666667/50000000 1)
(11333333/2000000 58 59 16666667/50000000 1)
(6 91 78 16666667/50000000 1)
(6 51 55 16666667/50000000 1)
(12666667/2000000 75 69 16666667/50000000 1)
(12666667/2000000 70 66 16666667/50000000 1)
(13333333/2000000 82 73 16666667/50000000 1)
(13333333/2000000 58 59 16666667/50000000 1)
(7 89 77 16666667/50000000 1)
(7 51 55 16666667/50000000 1)
(14666667/2000000 74 68 16666667/50000000 1)
(14666667/2000000 71 66 16666667/50000000 1)
(15333333/2000000 80 72 16666667/50000000 1)
(15333333/2000000 59 59 16666667/50000000 1)
(8 87 76 16666667/50000000 1)
(8 51 55 16666667/50000000 1)
(8333333/1000000 75 69 16666667/50000000 1)
(8333333/1000000 72 67 16666667/50000000 1)
(8666667/1000000 80 72 16666667/50000000 1)
(8666667/1000000 60 60 16666667/50000000 1)
(9 84 74 16666667/50000000 1)
(9 51 55 16666667/50000000 1)
(9333333/1000000 72 67 16666667/50000000 1)
(9333333/1000000 68 65 16666667/50000000 1)
(9666667/1000000 80 72 16666667/50000000 1)
(9666667/1000000 62 61 16666667/50000000 1)
(10 84 74 16666667/50000000 1)
(10 51 55 16666667/50000000 1)
(10333333/1000000 72 67 16666667/50000000 1)
(10333333/1000000 67 64 16666667/50000000 1)
(10666667/1000000 79 71 16666667/50000000 1)
(10666667/1000000 63 62 16666667/50000000 1)
(11 82 73 16666667/50000000 1)
(11 58 59 16666667/50000000 1)
(11333333/1000000 70 66 16666667/50000000 1)
(11333333/1000000 67 64 16666667/50000000 1)
(11666667/1000000 75 69 16666667/50000000 1)
(11666667/1000000 63 62 16666667/50000000 1)
(12 79 71 16666667/50000000 1)
(12 51 55 16666667/50000000 1)
(12333333/1000000 67 64 16666667/50000000 1)
(12333333/1000000 63 62 16666667/50000000 1)
(12666667/1000000 70 66 16666667/50000000 1)
(12666667/1000000 55 57 16666667/50000000 1)
(13 75 69 16666667/50000000 1)
(13 41 49 16666667/50000000 1)
(13333333/1000000 63 62 16666667/50000000 1)
(13333333/1000000 60 60 16666667/50000000 1)
(13666667/1000000 69 65 16666667/50000000 1)
(13666667/1000000 53 56 16666667/50000000 1)
(14 74 68 16666667/50000000 1)
(14 48 53 16666667/50000000 1)
(14333333/1000000 62 61 16666667/50000000 1)
(14333333/1000000 60 60 16666667/50000000 1)
(14666667/1000000 69 65 16666667/50000000 1)
(14666667/1000000 53 56 16666667/50000000 1)
(15 75 69 16666667/50000000 1)
(15 41 49 16666667/50000000 1)
(15333333/1000000 63 62 16666667/50000000 1)
(15333333/1000000 60 60 16666667/50000000 1)
(15666667/1000000 69 65 16666667/50000000 1)
(15666667/1000000 53 56 16666667/50000000 1)
(16 79 71 16666667/50000000 1)
(16 46 52 16666667/50000000 1)
(653/40 67 64 16666667/50000000 1)
(653/40 63 62 16666667/50000000 1)
(8333333/500000 70 66 16666667/50000000 1)
(8333333/500000 53 56 16666667/50000000 1)
(17 77 70 16666667/50000000 1)
(17 50 54 16666667/50000000 1)
(8666667/500000 65 63 16666667/50000000 1)
(8666667/500000 62 61 16666667/50000000 1)
(8833333/500000 70 66 16666667/50000000 1)
(8833333/500000 53 56 16666667/50000000 1)
(18 74 68 16666667/50000000 1)
(18 46 52 16666667/50000000 1)
(9166667/500000 62 61 16666667/50000000 1)
(9166667/500000 58 59 16666667/50000000 1)
(9333333/500000 65 63 16666667/50000000 1)
(9333333/500000 53 56 16666667/50000000 1)
(19 75 69 16666667/50000000 1)
(19 41 49 16666667/50000000 1)
(9666667/500000 63 62 16666667/50000000 1)
(9666667/500000 60 60 16666667/50000000 1)
(9833333/500000 69 65 16666667/50000000 1)
(9833333/500000 53 56 16666667/50000000 1)
(20 74 68 16666667/50000000 1)
(20 48 53 16666667/50000000 1)
(10166667/500000 62 61 16666667/50000000 1)
(10166667/500000 59 59 16666667/50000000 1)
(10333333/500000 69 65 16666667/50000000 1)
(10333333/500000 53 56 16666667/50000000 1)
